unique_id,gender,hold racket handed,play years_0,play years_1,play years_2,level_2,level_3,level_4,level_5
1968,0.5,0.88,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1969,0.5,0.99777778,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1970,0.5,0.99740741,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1971,0.5,0.99703704,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1972,0.5,0.9862963,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1973,0.5,0.98074074,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1974,0.5,0.99777778,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1975,0.5,0.99777778,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1976,0.5,0.93333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1977,0.5,0.99925926,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1978,0.5,0.9962963,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1979,0.5,0.95814815,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1980,0.5,0.78814815,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1981,0.5,0.05962963,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1982,0.5,0.99777778,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1983,0.5,0.55518519,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1984,0.5,0.87925926,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1985,0.5,0.1162963,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1986,0.5,0.99592593,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1987,0.5,0.99185185,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1988,0.5,0.94296296,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1989,0.5,0.99666667,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1990,0.5,0.18222222,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1991,0.5,0.90703704,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1992,0.5,0.99,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1993,0.5,0.14592593,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1994,0.5,0.99814815,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1995,0.5,0.88333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1996,0.5,0.98925926,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1997,0.5,0.99925926,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1998,0.5,0.99740741,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1999,0.5,0.99518519,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2000,0.5,0.98296296,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2001,0.5,0.74962963,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2002,0.5,0.97592593,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2003,0.5,0.99814815,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2004,0.5,0.93296296,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2005,0.5,0.82740741,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2006,0.5,0.02851852,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2007,0.5,0.04407407,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2008,0.5,0.24148148,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2009,0.5,0.18222222,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2010,0.5,0.98185185,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2011,0.5,0.0737037,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012,0.5,0.82851852,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2013,0.5,0.98518519,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2014,0.5,0.99481481,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2015,0.5,0.07777778,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016,0.5,0.78444444,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2017,0.5,0.97259259,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018,0.5,0.99481481,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2019,0.5,0.99555556,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2020,0.5,0.77962963,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2021,0.5,0.88925926,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2022,0.5,0.71740741,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2023,0.5,0.99555556,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2024,0.5,0.98074074,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2025,0.5,0.87962963,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2026,0.5,0.97851852,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2027,0.5,0.98,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2028,0.5,0.06592593,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2029,0.5,0.99814815,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2030,0.5,0.86518519,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2031,0.5,0.97814815,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2032,0.5,0.99740741,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2033,0.5,0.93259259,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2034,0.5,0.83703704,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2035,0.5,0.08555556,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2036,0.5,0.99925926,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2037,0.5,0.99296296,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2038,0.5,0.99555556,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2039,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2040,0.5,0.99962963,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2041,0.5,0.99925926,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2042,0.5,0.99296296,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2043,0.5,0.99925926,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2044,0.5,0.97814815,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2045,0.5,0.98962963,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2046,0.5,0.99925926,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2047,0.5,0.9962963,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2048,0.5,0.99111111,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2049,0.5,0.99444444,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2050,0.5,0.98074074,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2051,0.5,0.98074074,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2052,0.5,0.99333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2053,0.5,0.96777778,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2054,0.5,0.99851852,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2055,0.5,0.95148148,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2056,0.5,0.99555556,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2057,0.5,0.99481481,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2058,0.5,0.99925926,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2059,0.5,0.99518519,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2060,0.5,0.95555556,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2061,0.5,0.83592593,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2062,0.5,0.98333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2063,0.5,0.9937037,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2064,0.5,0.09518519,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2065,0.5,0.92592593,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2066,0.5,0.97777778,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2067,0.5,0.02962963,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2068,0.5,0.20037037,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2069,0.5,0.96481481,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2070,0.5,0.9337037,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2071,0.5,0.03296296,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2072,0.5,0.14740741,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2073,0.5,0.03777778,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2074,0.5,0.97296296,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2075,0.5,0.99592593,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2076,0.5,0.98074074,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2077,0.5,0.99814815,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2078,0.5,0.97851852,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2079,0.5,0.87407407,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2080,0.5,0.98037037,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2081,0.5,0.0437037,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2082,0.5,0.9862963,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2083,0.5,0.90925926,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2084,0.5,0.98851852,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2085,0.5,0.99518519,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2086,0.5,0.99962963,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2087,0.5,0.99962963,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2088,0.5,0.99851852,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2089,0.5,0.99814815,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2090,0.5,0.9937037,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2091,0.5,0.94259259,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2092,0.5,0.98259259,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2093,0.5,0.99592593,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2094,0.5,0.99703704,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2095,0.5,0.15444444,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2096,0.5,0.94074074,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2097,0.5,0.06148148,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2098,0.5,0.98703704,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2099,0.5,0.9937037,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2100,0.5,0.92888889,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2101,0.5,0.92518519,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2102,0.5,0.15185185,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2103,0.5,0.99740741,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2104,0.5,0.9737037,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2105,0.5,0.99703704,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2106,0.5,0.99518519,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2107,0.5,0.99888889,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2108,0.5,0.99888889,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2109,0.5,0.9837037,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2110,0.5,0.99518519,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2111,0.5,0.98333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2112,0.5,0.94037037,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2113,0.5,0.99814815,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2114,0.5,0.98333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2115,0.5,0.98222222,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2116,0.5,0.99,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2117,0.5,0.98962963,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2118,0.5,0.98925926,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2119,0.5,0.31518519,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2120,0.5,0.05407407,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2121,0.5,0.99777778,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2122,0.5,0.97555556,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2123,0.5,0.99777778,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2124,0.5,0.99518519,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2125,0.5,0.99851852,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2126,0.5,0.23185185,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2127,0.5,0.96925926,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2128,0.5,0.99703704,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2129,0.5,0.99851852,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2130,0.5,0.13814815,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2131,0.5,0.97777778,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2132,0.5,0.98296296,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2133,0.5,0.99740741,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2134,0.5,0.99296296,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2135,0.5,0.03407407,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2136,0.5,0.98740741,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2137,0.5,0.04148148,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2138,0.5,0.99777778,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2139,0.5,0.99666667,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2140,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2141,0.5,0.8362963,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2142,0.5,0.16037037,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2143,0.5,0.95407407,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2144,0.5,0.9862963,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2145,0.5,0.99444444,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2146,0.5,0.99666667,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2147,0.5,0.9862963,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2148,0.5,0.99703704,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2149,0.5,0.02851852,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2150,0.5,0.13222222,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2151,0.5,0.99592593,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2152,0.5,0.98148148,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2153,0.5,0.9762963,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2154,0.5,0.99259259,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2155,0.5,0.13444444,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2156,0.5,0.92703704,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2157,0.5,0.99925926,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2158,0.5,0.02407407,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2159,0.5,0.99333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2160,0.5,0.99851852,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2161,0.5,0.99925926,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2162,0.5,0.98888889,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2163,0.5,0.9937037,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2164,0.5,0.98814815,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2165,0.5,0.99333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2166,0.5,0.98518519,0.5,0.5,0.5,0.5,0.5,0.5,0.5
